Nr;Kod stacji;Kod mi©dzynarodowy;Nazwa stacji;Stary Kod stacji;Data uruchomienia;Data zamkni©cia;Typ stacji;Typ obszaru;Rodzaj stacji;Wojew¢dztwo;MiejscowoòÜ;Ulica;WGS84 ? N;WGS84 ? E
125;DsWitka;PL0319A;Witka;DsWitka;01.01.1996;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Witka;;51.041136;14.980327
126;DsWlen03;PL0062A;Wle‰;DsWlen03;01.07.1996;31.12.2010;tào;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Wle‰;;51.012248;15.668279
127;DsWrocAlWisn;PL0197A;Wrocàaw - Wiòniowa;DsWrocWisA;01.01.2005;;komunikacyjna;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Wrocàaw;al. Wiòniowa/ul. Powst. ól•skich;51.086225;17.012689
128;DsWrocBartni;PL0193A;Wrocàaw - Bartnicza;DsWrocBartA;01.01.2005;;tào;podmiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Wrocàaw;ul. Bartnicza;51.115933;17.141125
129;DsWrocGrun;;Wrocàaw - Grunwald;DsWrocGrun;01.01.1996;31.12.2005;komunikacyjna;miejski;w budynku;DOLNOóL§SKIE;Wrocàaw;pl. Grunwaldzki 9;51.109899;17.056491
130;DsWrocKorzPMArch;;Wrocàaw - Korzeniowskiego (PM10-Arch);DsWrocKorzPMArch;01.01.2005;31.12.2009;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Wrocàaw;ul. Wyb. J.Conrada-Korzeniowskiego;51.129409;17.029552
131;DsWrocKrom;;Wrocàaw - Kromera;DsWrocKrom;01.01.1995;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Wrocàaw;ul. Kromera 44;51.132752;17.064494
132;DsWrocNaGrob;PL0490A;Wrocàaw - Na Grobli;DsWrocGrobla;01.01.2010;;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Wrocàaw;ul. Na Grobli;51.103456;17.059225
133;DsWrocOlsz;;Wrocàaw - Olszewskiego;DsWrocOlsz;01.01.1978;31.12.2003;tào;miejski;w budynku;DOLNOóL§SKIE;Wrocàaw;ul. Olszewskiego 21;51.102735;17.096759
134;DsWrocOpor;;Wrocàaw - Oporowska;DsWrocOpor;01.01.1995;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Wrocàaw;ul. Oporowska 16;51.098027;17.002063
135;DsWrocOrzech;PL0196A;Wrocàaw - Orzechowa;DsWrocOrzech;01.01.2011;;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Wrocàaw;ul. Orzechowa 61;51.077525;17.042817
136;DsWrocOrzechArch;;Wrocàaw - Orzechowa (PM10-Arch);DsWrocOrzechArch;01.01.2005;31.12.2009;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Wrocàaw;ul. Orzechowa 61;51.077525;17.042816
137;DsWrocPret;;Wrocàaw - Pretficza;DsWrocPret;01.01.1994;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Wrocàaw;ul. Pretficza 7;51.090895;17.013682
138;DsWrocSklad;;Wrocàaw - Skàadowa;DsWrocSklad;01.01.1977;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Wrocàaw;ul. Skàadowa 1/3;51.119722;17.027500
139;DsWrocTech;;Wrocàaw - Mà.Technik¢w;DsWrocTech;01.01.1986;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Wrocàaw;ul. Màodych Technik¢w 7;51.113611;17.013056
140;DsWrocUkr;PL0009A;Wrocàaw - Ukryta;DsWrocUkr;01.01.1998;31.12.2005;tào;miejski;w budynku;DOLNOóL§SKIE;Wrocàaw;ul. Ukryta 10;51.117029;17.053859
141;DsWrocWie;PL0025A;Wrocàaw - Wierzbowa;DsWrocWie;08.11.1994;31.12.2011;tào;miejski;w budynku;DOLNOóL§SKIE;Wrocàaw;ul. Wierzbowa 14/16;51.105490;17.036471
142;DsWrocWybCon;PL0194A;Wrocàaw - Korzeniowskiego;DsWrocKorzA;01.01.2005;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Wrocàaw;ul. Wyb. J.Conrada-Korzeniowskiego 18;51.129378;17.029250
143;DsWyszkow;PL0320A;Wyszk¢w;DsWyszkow;01.01.1996;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Wyszk¢w;;50.963536;14.993653
144;DsZabkKlodz;;Z•bkowice ól•skie - ul. Kàodzka;DsZabkKlodz;02.01.1977;31.12.2005;tào;miejski;w budynku;DOLNOóL§SKIE;Z•bkowice ól•skie;ul. Kàodzka 2;50.586033;16.809694
145;DsZabkPowWar;PL0321A;Z•bkowice ól•skie;DsZabkowSemi;01.09.2008;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Z•bkowice ól•skie;ul. Powsta‰c¢w Warszawy 5;50.592325;16.819786
146;DsZameczno;;Zameczno;DsZameczno;01.01.1980;31.12.2003;przemysàowa;pozamiejski;w budynku;DOLNOóL§SKIE;Zameczno;;51.669507;15.932111
147;DsZgorBohGet;PL0198A;Zgorzelec - Bohater¢w Getta;DsZgorzBohA;01.01.2005;;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Zgorzelec;ul. Bohater¢w Getta 1a;51.150391;15.008175
148;DsZgorzMar;PL0199A;Zgorzelec - Marato‰ska;DsZgorzMar;01.01.2005;31.12.2007;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Zgorzelec;ul. Marato‰ska;51.145777;15.012233
149;DsZgorzOrz;PL0322A;Zgorzelec - Orzeszkowej;DsZgorzOrz;01.01.1996;31.12.2013;przemysàowa;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Zgorzelec;ul. Orzeszkowej 3;51.130156;15.001958
150;DsZgorzWar;;Zgorzelec - Warszawska;DsZgorzWar;03.01.1995;31.12.2004;tào;miejski;w budynku;DOLNOóL§SKIE;Zgorzelec;ul. Warszawska 11;51.148418;15.007949
151;DsZlotKosc;;Zàotoryja - Koòciuszki;DsZlotKosc;01.01.2000;31.12.2002;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Zàotoryja;ul. Koòciuszki 5;51.123326;15.911288
152;DsZlotoryjaPMArch;;Zàotoryja - Staszica (PM10-Arch);DsZlotoryjaPMArch;01.01.2009;31.12.2009;tào;miejski;kontenerowa stacjonarna;DOLNOóL§SKIE;Zàotoryja;ul. Stanisàawa Staszica 22;51.123900;15.920289
153;DsZlotoStasz;PL0477A;Zàotoryja - Staszica;DsZlotoryjaPM;01.01.2011;31.12.2019;tào;miejski;wolnostoj•cy pobornik pyàu;DOLNOóL§SKIE;Zàotoryja;ul. Stanisàawa Staszica 22;51.123900;15.920289
154;DsZukowice;;Ωukowice;DsZukowice;01.01.1980;31.12.2003;przemysàowa;pozamiejski;w budynku;DOLNOóL§SKIE;Ωukowice;;51.667269;15.984407
155;KpAirpKoluda;PL0601A;Koàuda Wielka Airpointer;KpAirpKoluda;25.04.2013;02.01.2014;tào;pozamiejski;mobilna;KUJAWSKO-POMORSKIE;Koàuda Wielka;;52.735747;18.148678
156;KpBrodKochan;PL0606A;Brodnica, Kochanowskiego;KpBrodnicaKochanowskiego;01.01.2015;;tào;miejski;wolnostoj•cy pobornik pyàu;KUJAWSKO-POMORSKIE;Brodnica;ul. Kochanowskiego;53.249264;19.415086
157;KpBrodnZwirki;PL0323A;"Brodnica ""Ωwirki""";KpBrodnZwirki;16.03.2003;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Brodnica;ul. Ωwirki i Wigury 1;53.257500;19.406667
158;KpBydBerling;PL0491A;Bydgoszcz Fieldorfa;KpBydgBerlinga;01.04.2010;;tào;podmiejski;wolnostoj•cy pobornik pyàu;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. gen. Augusta Emila Fieldorfa ?Nila? 13;53.151452;18.132062
159;KpBydgATRKalisk;PL0324A;"Bydgoszcz ""Fordon ATR""";KpBydgATRKalisk;02.01.1990;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. Kaliskiego 7;53.142778;18.126944
160;KpBydgBlota;;Bydgoszcz Biaàe Bàota;KpBydgBlota;09.01.2006;31.12.2009;tào;podmiejski;mobilna;KUJAWSKO-POMORSKIE;Biaàe Bàota;ul. Szubi‰ska 8;53.100278;17.920278
161;KpBydgChemEC;PL0583A;Bydgoszcz Chemiczna EC;KpBydgChemEC;01.01.2012;31.12.2013;przemysàowa;podmiejski;mobilna;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. Chemiczna;53.104444;18.073611
162;KpBydgCO;;Bydgoszcz Centrum Onkologiczne;KpBydgCO;22.08.2006;31.12.2009;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. Berlinga 13;53.150833;18.131389
163;KpBydgMorska;PL0325A;"Bydgoszcz ""Morska""";KpBydgMorska;18.01.1993;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. Morska 2;53.127500;18.054444
164;KpBydgUjejskiego;PL0063A;"Bydgoszcz ""Szpital XXX-lecia""";KpBydgUjejskiego;13.01.1981;31.12.2010;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. Ujejskiego 75;53.114722;18.027222
165;KpBydgWPola;PL0065A;"Bydgoszcz ""W. Pola""";KpBydgWPola;04.01.1994;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. W. Pola 19;53.125000;17.975833
166;KpBydgWzgWolnosci;;Bydgoszcz Wzg¢rze Wolnoòci;KpBydgWzgWolnosci;31.03.2008;31.12.2009;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. Sàowia‰ska 7;53.115833;18.016111
167;KpBydgZachemHutn;PL0326A;Zachem - Hutnicza;KpBydgZachemHutn;01.03.1999;31.12.2012;przemysàowa;miejski;w budynku;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. Hutnicza 89;53.101667;18.106111
168;KpBydgZachemWojska;PL0327A;"Bydgoszcz ""Zachem2""";KpBydgZachemWojska;11.01.1983;31.12.2009;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. Wojska Polskiego 46;53.102222;18.059444
169;KpBydPlPozna;PL0252A;Bydgoszcz Plac Pozna‰ski;KpBydgPlPozn;06.01.2006;;komunikacyjna;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Bydgoszcz;Plac Pozna‰ski;53.121764;17.987906
170;KpBydWarszaw;PL0064A;Bydgoszcz Warszawska;KpBydgWarszawska;21.01.1995;;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Bydgoszcz;ul. Warszawska 10;53.134083;17.995708
171;KpChelmnLunawska;PL0328A;"Cheàmno ""ùunawska""";KpChelmnLunawska;16.03.2003;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Cheàmno;ul. ùunawska 2A;53.348611;18.445278
172;KpCiechTezni;PL0066A;Ciechocinek;KpCiechoTezniowa;05.04.1995;;tào;podmiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Ciechocinek;ul. T©æniowa - Park T©æniowy;52.888422;18.780908
173;KpDAFAleksandrowK;;Aleksandr¢w Kujawski;KpDAFAleksandrowK;01.01.2010;31.12.2010;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Aleksandr¢w Kujawski;ul. Sàowackiego 18;52.878333;18.697500
174;KpDAFBrzescK;;BrzeòÜ Kujawski;KpDAFBrzescK;01.03.2005;30.09.2005;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;BrzeòÜ Kujawski;ul. Kili‰skiego;52.605000;18.906944
175;KpDAFChelmza;;Cheàmæa (stacja mobilna);KpDAFChelmza;01.08.2010;16.11.2010;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Cheàmæa;ul. Gen. J.Hallera 2;53.186389;18.610556
176;KpDAFChodecz;;Chodecz;KpDAFChodecz;01.01.2008;31.12.2008;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Chodecz;ul. I Armii Wojska Polskiego;52.401667;19.029444
177;KpDAFDobrzynUM;;Dobrzy‰ UM;KpDAFDobrzynUM;01.01.2003;31.12.2007;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Dobrzy‰ nad Wisà•;ul. Szkolna 4;52.637778;19.321667
178;KpDAFGolub;;Golub - Dobrzy‰ (stacja mobilna);KpDAFGolub;01.06.2005;17.06.2009;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Golub-Dobrzy‰;ul. Dworcowa;53.120556;19.050556
179;KpDAFIzbica;;Izbica Kujawska;KpDAFIzbica;01.09.2006;31.12.2010;tào;pozamiejski;mobilna;KUJAWSKO-POMORSKIE;Izbica Kujawska;ul. Warszawska 2;52.419478;18.767222
180;KpDAFLasin;;ùasin (stacja mobilna);KpDAFLasin;06.03.2006;13.05.2006;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;ùasin;ul. Odrodzenia Polski 5;53.518333;19.089444
181;KpDAFMarusza;;Marusza (stacja mobilna);KpDAFMarusza;01.02.2008;13.05.2008;tào;podmiejski;mobilna;KUJAWSKO-POMORSKIE;Grudzi•dz;ul. Warszawska 36;53.453889;18.791667
182;KpDAFNieszawa;;Nieszawa;KpDAFNieszawa;01.05.2006;31.12.2006;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Nieszawa;ul. Laskowskiego 3;52.838611;18.895000
183;KpDAFRadziejowRPGK;;Radziej¢w RPGK;KpDAFRadziejowRPGK;01.01.2009;31.12.2009;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Radziej¢w;ul. Komunalna 19;52.629722;18.530278
184;KpDAFRadzyn;;Radzy‰ Cheàmi‰ski (stacja mobilna);KpDAFRadzyn;01.01.2010;20.05.2010;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Radzy‰ Cheàmi‰ski;ul. Sady 14;53.381944;18.936944
185;KpDAFRypinKOMES;;RypinKOMES;KpDAFRypinKOMES;01.01.2009;31.12.2009;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Rypin;ul. E. Orzeszkowej 4;53.065556;19.405278
186;KpGrudPilsud;PL0580A;Grudzi•dz Airpointer;KpAirpGrudz;01.03.2012;;komunikacyjna;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Grudzi•dz;ul. Piàsudskiego 51;53.493550;18.762139
187;KpGrudSienki;PL0542A;Grudzi•dz Star¢wka;KpGrudzStar;29.04.2011;;tào;miejski;wolnostoj•cy pobornik pyàu;KUJAWSKO-POMORSKIE;Grudzi•dz;ul. Sienkiewicza 27;53.491831;18.752503
188;KpGrudzIkara;PL0200A;"Grudzi•dz ""Ikara""";KpGrudzIkara;16.03.2003;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Grudzi•dz;ul. Ikara 8;53.464167;18.769444
189;KpGrudzKosynierow;PL0329A;"Grudzi•dz ""Kosynier¢w""";KpGrudzKosynierow;04.01.1993;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Grudzi•dz;ul. Kosynier¢w Gdy‰skich 31;53.492778;18.754167
190;KpInowOsMatwMOB;PL0656A;Inowrocàaw M•twy airponter;KpInowOsMatwMOB;04.02.2016;10.01.2017;przemysàowa;miejski;mobilna;KUJAWSKO-POMORSKIE;Inowrocàaw;Chemiczna;52.755688;18.254380
191;KpInowrKleeberga;PL0330A;"Inowrocàaw ""R•bin""";KpInowrKleeberga;16.03.2003;31.12.2009;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Inowrocàaw;ul. Kleeberga 1;52.786667;18.250556
192;KpInowrMatewska;;"Soda-M•twy ""M•tewska""";KpInowrMatewska;01.07.1995;31.12.2011;przemysàowa;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Inowrocàaw;ul. M•tewska 34;52.751944;18.262500
193;KpInowrPlacKlaszt;PL0331A;"Inowrocàaw ""ór¢dmieòcie""";KpInowrPlacKlaszt;01.01.2003;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Inowrocàaw;ul. Klac Klasztorny 1b;52.796667;18.258889
194;KpInowrPoznanska;;"Inowrocàaw ""Pozna‰ska""";KpInowrPoznanska;01.02.1992;31.12.2011;przemysàowa;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Inowrocàaw;ul. Pozna‰ska 307;52.750000;18.252500
195;KpInowrSolan;PL0067A;Inowrocàaw Solankowa;KpInowrSolan;01.01.2011;31.12.2012;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Inowrocàaw;ul. Solankowa;52.794722;18.245000
196;KpInowrSolankowa;;"Inowrocàaw ""Uzdrowisko""";KpInowrSolankowa;16.03.2003;31.12.2010;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Inowrocàaw;ul. Solankowa 77;52.793611;18.243333
197;KpInowSolank;PL0581A;Inowrocàaw Airpointer;KpAirpInowr;04.03.2011;;tào;podmiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Inowrocàaw;ul. Solankowa;52.793122;18.241044
198;KpKoniczynka;PL0068A;Koniczynka;KpKoniczZMSP;01.01.1996;;tào;pozamiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Koniczynka;;53.080647;18.684258
199;KpKruszwicamob;;Kruszwica;KpKruszwicamob;10.03.2010;02.06.2010;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Kruszwica;ul. Niepodlegàoòci;52.678056;18.314167
200;KpKruszynLotnisko;;Lotnisko Kruszyn;KpKruszynLotnisko;19.01.2000;31.12.2004;tào;pozamiejski;w budynku;KUJAWSKO-POMORSKIE;Kruszyn;;52.586114;19.010000
201;KpMogilKosciuszki;PL0332A;Mogilno;KpMogilKosciuszki;16.03.2003;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Mogilno;ul. T. Koòciuszki 3;52.659167;17.949722
202;KpMogiNowMOB;PL0751A;Mogilno,Koòciuszki;KpMogiNowMOB;03.01.2019;31.12.2019;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Mogilno;Koòciuszki;52.656842;17.949565
203;KpNakloSkargi;;Nakào;KpNakloSkargi;16.03.2003;31.12.2010;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Nakào nad Noteci•;ul. P. Skargi 2;53.139444;17.607778
204;KpNaklSkargi;PL0201A;Nakào Piotra Skargi;KpNakloPiotraSkargi;01.01.2011;01.01.2020;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Nakào nad Noteci•;ul. Piotra Skargi;53.138358;17.605139
205;KpNwiesNaftobazy;PL0333A;Naftobazy;KpNwiesNaftobazy;01.01.1990;31.12.2013;przemysàowa;pozamiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Nowa Wies Wielka;ul. Przemyslowa;52.970278;18.091389
206;KpPiech;PL0334A;Lafarge-Piechcin;KpPiech;01.06.1998;31.12.2011;przemysàowa;pozamiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Piechcin;;52.816389;18.032778
207;KpPrzysRCRRiOW;;Przysiek - RCRRiOW;KpPrzysRCRRiOW;15.05.1996;31.03.2005;BRAK DANYCH;pozamiejski;w budynku;KUJAWSKO-POMORSKIE;Przysiek;;53.029444;18.504444
208;KpSadlog;PL0202A;Lafarge-Sadàogoszcz;KpSadlog;20.03.2001;31.12.2011;tào;pozamiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Sadàogoszcz;;52.844722;18.005000
209;KpSepolno;;S©p¢lno Kraje‰skie;KpSepolno;20.02.2006;31.12.2009;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;S©p¢lno Kraje‰skie;ul. Sienkiewicza 54;53.447500;17.527778
210;KpSwiecGruczno;;Frantschach - Gruczno;KpSwiecGruczno;01.01.1997;27.02.2003;przemysàowa;pozamiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;G¢rne Gruczno;;53.364722;18.316667
211;KpSwiecGruczno2;PL0069A;02 - Gruczno;KpSwiecGruczno2;01.02.2005;31.12.2011;przemysàowa;pozamiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;G¢rne Gruczno;;53.355556;18.318333
212;KpSwiecKolejowa;;Frantschach - stacja nr 1;KpSwiecKolejowa;10.03.1995;10.03.2003;przemysàowa;podmiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;ówiecie;ul. Kolejowa 20;53.398056;18.416389
213;KpSwiecPrzechowo;PL0070A;01 Przechowo;KpSwiecPrzechowo;01.02.2005;01.01.2014;przemysàowa;podmiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;ówiecie Przechowo;;53.398056;18.416389
214;KpSwiecSadowa;PL0336A;"ówiecie ""S•dowa""";KpSwiecSadowa;16.03.2003;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;ówiecie;ul. S•dowa 5;53.407222;18.453889
215;KpToruDziewu;PL0071A;Toru‰ POLICJA;KpTorunDziewulsk;20.04.1993;;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Toru‰;ul. Dziewulskiego 1;53.028647;18.666103
216;KpToruKaszow;PL0072A;Toru‰, KASZOWNIK;KpTorunKaszownik;01.01.1997;;komunikacyjna;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Toru‰;ul. Przy Kaszowniku;53.017628;18.612808
217;KpTorunGagarina;PL0337A;"Toru‰ ""Gagarina""";KpTorunGagarina;20.01.1988;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Toru‰;ul. Gagarina 34;53.018333;18.565000
218;KpTorunKonstytucji;PL0338A;"Toru‰ ""Konstytucji""";KpTorunKonstytucji;16.03.2003;31.12.2009;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Toru‰;ul. Konstytucji 3-Maja 15;53.023889;18.681667
219;KpTorunKopernika;PL0339A;"Toru‰ ""Kopernika""";KpTorunKopernika;02.01.1983;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Toru‰;ul. M. Kopernika 9;53.009167;18.604167
220;KpTorunLotnisko;PL0073A;Toru‰, LOTNISKO;KpTorunLotnisko;18.09.1989;16.12.2008;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Toru‰;ul. Biela‰ska 66;53.028333;18.561678
221;KpTorunOPSIS;;Toru‰, OPSIS;KpTorunOPSIS;01.06.1995;31.12.2005;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Toru‰;pl. Teatralny 2;53.013611;18.604722
222;KpTorunPoznanska;PL0340A;"Toru‰ ""Pozna‰ska""";KpTorunPoznanska;16.03.2003;31.12.2009;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Toru‰;ul. Pozna‰ska 63;52.993611;18.595278
223;KpTorunSzpMiejski;PL0203A;Toru‰ Szpital Miejski;KpTorunSzpMiejski;01.01.2004;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Toru‰;ul. Batorego;53.022500;18.620833
224;KpToruStorczMOB;PL0688A;Toru‰, ul. Storczykowa;KpToruStorczMOB;01.01.2018;31.12.2018;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;Toru‰;ul. Storczykowa 124;53.041945;18.595036
225;KpToruWSikor;PL0582A;Toru‰ Airpointer;KpAirpTorun;01.03.2012;;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Toru‰;ul. Waày Gen. Sikorskiego 12;53.012261;18.606203
226;KpTuchPiast;PL0341A;Tuchola Piastowska;KpTuchPiast;01.01.2011;01.01.2014;tào;podmiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Tuchola;ul. Piastowska;53.585961;17.869350
227;KpTuchPiastowska;;Tuchola;KpTuchPiastowska;01.01.1999;31.12.2010;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Tuchola;ul. Piastowska 30;53.585833;17.871667
228;KpWabrzMuzeum;PL0204A;W•brze´no - muzeum;KpWabrzMuzeum;01.04.2005;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;W•brze´no;ul. 1 Maja 40;53.279722;18.954167
229;KpWabrzstmob;;W•brze´no (stacja mobilna);KpWabrzstmob;01.01.2005;13.12.2008;tào;miejski;mobilna;KUJAWSKO-POMORSKIE;W•brze´no;ul. K©trzy‰skiego 3;53.278333;18.966667
230;KpWieniecZdrMOB;PL0718A;Airponter Wieniec Zdr¢j;KpWieniecZdrMOB;28.12.2018;31.12.2019;tào;podmiejski;mobilna;KUJAWSKO-POMORSKIE;Wieniec-Zdr¢j;ul. Wieniecka;52.656866;18.987368
231;KpWieniZdroj;PL0689A;Wieniec Zdr¢j, ul. Wieniecka;KpWieniZdroj;01.01.2018;;tào;podmiejski;wolnostoj•cy pobornik pyàu;KUJAWSKO-POMORSKIE;Wieniec-Zdr¢j;Wieniecka;52.656773;18.987456
232;KpWienSanatorium;PL0342A;"Wieniec-Zdr¢j Sanatorium ""Jutrzenka""";KpWienSanatorium;01.01.1981;31.12.2010;BRAK DANYCH;pozamiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Wieniec-Zdr¢j;;52.656944;18.988611
233;KpWiktorowoG;PL0587A;Lafarge- Airpointer;KpAirpWiktorowo;01.08.2012;01.01.2015;przemysàowa;pozamiejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Wiktorowo;Wiktorowo 22;52.822942;17.859031
234;KpWloclChelmMOB;PL0605A;Airpointer Wàocàawek;KpAirpWlocWod;01.01.2015;01.01.2018;tào;podmiejski;mobilna;KUJAWSKO-POMORSKIE;Wàocàawek;ul. Cheàmicka;52.672648;19.079261
235;KpWloclGnia2;PL0703A;Wàocàawek, ul. Gniazdowskiego2;KpWloclGnia2;01.01.2017;31.12.2017;tào;podmiejski;wolnostoj•cy pobornik pyàu;KUJAWSKO-POMORSKIE;Wàocàawek;Gniazdowskiego 7;52.651561;19.051886
236;KpWloclGniaz;PL0690A;Wàocàawek, ul. Gniazdowskiego 7;KpWloclGniaz;01.04.2017;;tào;podmiejski;wolnostoj•cy pobornik pyàu;KUJAWSKO-POMORSKIE;Wàocàawek;Gniazdowskiego 7;52.651561;19.051886
237;KpWloclKalis;PL0664A;Wàocàawek, ul. Kaliska;KpWloclKalis;01.12.2018;;tào;miejski;kontenerowa stacjonarna;KUJAWSKO-POMORSKIE;Wàocàawek;Kaliska 108 A;52.637394;19.044486
238;KpWloclKilinskiego;PL0343A;"Wàocàawek ""Kili‰skiego""";KpWloclKilinskiego;16.03.2003;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Wàocàawek;ul. Kili‰skiego 16;52.656389;19.062778
239;KpWloclLady;PL0074A;"Wàocàawek ""ùady""";KpWloclLady;01.01.1996;31.12.2010;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Wàocàawek;ul. ùady 10;52.641944;19.047500
240;KpWloclMalinowa;PL0344A;"Wàocàawek ""Malinowa""";KpWloclMalinowa;03.01.1995;31.12.2009;tào;miejski;w budynku;KUJAWSKO-POMORSKIE;Wàocàawek;ul. Malinowa 5;52.678611;19.051667
